Country,Satellite Count
USA,4511
China,586
United Kingdom,561
Russia,177
Japan,88
Multinational,62
ESA,62
India,59
Canada,56
Germany,48
Luxembourg,45
Argentina,38
Israel,27
Spain,26
France,24
Finland,23
South Korea,21
Italy,15
Switzerland,15
Netherlands,14
Brazil,14
Australia,14
United Arab Emirates,13
Saudi Arabia,13
Taiwan,12
Turkey,10
Norway,9
Singapore,8
Mexico,7
Indonesia,7
Thailand,7
Kazakhstan,6
Egypt,5
South Africa,5
Poland,5
USA/Japan,5
USA/Argentina,5
Algeria,5
Malaysia,4
Vietnam,4
Lithuania,4
Denmark,4
Chile,4
Czech Republic,4
France/Italy,3
Pakistan,3
Sweden,3
Nigeria,3
Belarus,2
China/France,2
Iran,2
China/Brazil,2
Japan/Singapore,2
France/Belgium/Sweden,2
Azerbaijan,2
India/France,2
Bulgaria,2
Morocco,2
Slovenia,2
Greece,2
France/Italy/Belgium/Spain/Greece,2
USA/Germany,2
Venezuela,2
Ukraine,2
Ethiopia,2
Belgium,2
Kuwait,1
Hungary,1
Sri Lanka,1
France/Israel,1
India/Canada,1
Nepal,1
Singapore/Taiwan,1
Poland/UK,1
New Zealand,1
USA/United Kingdom/Italy,1
Iraq,1
Bolivia,1
Estonia,1
Austria,1
Turkmenistan/Monaco,1
Sudan,1
Morocco/Germany,1
Peru,1
United Kingdom/ESA,1
Tunisia,1
Bangladesh,1
Ecuador,1
USA/Canada/Japan,1
USA/Japan/Brazil,1
Colombia,1
Greece/United Kingdom,1
ESA/,1
USA/India/Singapore/Taiwan,1
Sinapore,1
ESA/Russia,1
Angola,1
USA/France,1
Jordan,1
United Kingdom/Netherlands,1
Laos,1
China ,1
USA/Canada,1
China/Italy,1
